threshold,accuracy,recall,precision,f1,auc_roc,auc_pr,brier,model
0.05,0.31014150943396224,0.9457364341085271,0.1742857142857143,0.2943305186972256,0.6973833166219232,0.2898857169836835,0.6898584905660378,LogReg_A2
0.060000000000000005,0.35259433962264153,0.937984496124031,0.18277945619335348,0.3059418457648546,0.6973833166219232,0.2898857169836835,0.6474056603773585,LogReg_A2
0.07,0.41627358490566035,0.9069767441860465,0.195,0.32098765432098764,0.6973833166219232,0.2898857169836835,0.5837264150943396,LogReg_A2
0.08,0.4681603773584906,0.8914728682170543,0.20833333333333334,0.3377386196769457,0.6973833166219232,0.2898857169836835,0.5318396226415094,LogReg_A2
0.09,0.5165094339622641,0.8527131782945736,0.21956087824351297,0.3492063492063492,0.6973833166219232,0.2898857169836835,0.4834905660377358,LogReg_A2
0.1,0.5424528301886793,0.7906976744186046,0.2203023758099352,0.34459459459459457,0.6973833166219232,0.2898857169836835,0.45754716981132076,LogReg_A2
0.11,0.5695754716981132,0.7596899224806202,0.22685185185185186,0.3493761140819964,0.6973833166219232,0.2898857169836835,0.43042452830188677,LogReg_A2
0.12000000000000001,0.5872641509433962,0.689922480620155,0.22305764411027568,0.3371212121212121,0.6973833166219232,0.2898857169836835,0.41273584905660377,LogReg_A2
0.13,0.6143867924528302,0.6589147286821705,0.23097826086956522,0.3420523138832998,0.6973833166219232,0.2898857169836835,0.3856132075471698,LogReg_A2
0.14,0.6344339622641509,0.6201550387596899,0.23460410557184752,0.3404255319148936,0.6973833166219232,0.2898857169836835,0.36556603773584906,LogReg_A2
0.15000000000000002,0.6674528301886793,0.6046511627906976,0.2524271844660194,0.3561643835616438,0.6973833166219232,0.2898857169836835,0.33254716981132076,LogReg_A2
0.16,0.6816037735849056,0.5658914728682171,0.25435540069686413,0.35096153846153844,0.6973833166219232,0.2898857169836835,0.31839622641509435,LogReg_A2
0.16999999999999998,0.6957547169811321,0.5271317829457365,0.25660377358490566,0.34517766497461927,0.6973833166219232,0.2898857169836835,0.30424528301886794,LogReg_A2
0.18,0.7158018867924528,0.4883720930232558,0.2647058823529412,0.34332425068119893,0.6973833166219232,0.2898857169836835,0.2841981132075472,LogReg_A2
0.19,0.7216981132075472,0.4263565891472868,0.2534562211981567,0.3179190751445087,0.6973833166219232,0.2898857169836835,0.2783018867924528,LogReg_A2
0.2,0.7311320754716981,0.40310077519379844,0.2561576354679803,0.3132530120481928,0.6973833166219232,0.2898857169836835,0.2688679245283019,LogReg_A2
0.21000000000000002,0.7405660377358491,0.3875968992248062,0.2617801047120419,0.3125,0.6973833166219232,0.2898857169836835,0.25943396226415094,LogReg_A2
0.22000000000000003,0.75,0.37209302325581395,0.2681564245810056,0.3116883116883117,0.6973833166219232,0.2898857169836835,0.25,LogReg_A2
0.22999999999999998,0.7629716981132075,0.37209302325581395,0.2857142857142857,0.32323232323232326,0.6973833166219232,0.2898857169836835,0.23702830188679244,LogReg_A2
0.24,0.7783018867924528,0.3643410852713178,0.30718954248366015,0.3333333333333333,0.6973833166219232,0.2898857169836835,0.22169811320754718,LogReg_A2
0.25,0.7841981132075472,0.3488372093023256,0.3125,0.32967032967032966,0.6973833166219232,0.2898857169836835,0.21580188679245282,LogReg_A2
0.26,0.7948113207547169,0.3178294573643411,0.3228346456692913,0.3203125,0.6973833166219232,0.2898857169836835,0.20518867924528303,LogReg_A2
0.27,0.7995283018867925,0.2868217054263566,0.3217391304347826,0.30327868852459017,0.6973833166219232,0.2898857169836835,0.20047169811320756,LogReg_A2
0.28,0.7983490566037735,0.26356589147286824,0.3090909090909091,0.28451882845188287,0.6973833166219232,0.2898857169836835,0.2016509433962264,LogReg_A2
0.29,0.8018867924528302,0.26356589147286824,0.3177570093457944,0.288135593220339,0.6973833166219232,0.2898857169836835,0.19811320754716982,LogReg_A2
0.3,0.8042452830188679,0.24806201550387597,0.31683168316831684,0.2782608695652174,0.6973833166219232,0.2898857169836835,0.1957547169811321,LogReg_A2
0.31,0.8172169811320755,0.24031007751937986,0.3522727272727273,0.2857142857142857,0.6973833166219232,0.2898857169836835,0.18278301886792453,LogReg_A2
0.32,0.8231132075471698,0.20930232558139536,0.36,0.2647058823529412,0.6973833166219232,0.2898857169836835,0.17688679245283018,LogReg_A2
0.33,0.8254716981132075,0.1937984496124031,0.36231884057971014,0.25252525252525254,0.6973833166219232,0.2898857169836835,0.17452830188679244,LogReg_A2
0.33999999999999997,0.8254716981132075,0.16279069767441862,0.3442622950819672,0.22105263157894736,0.6973833166219232,0.2898857169836835,0.17452830188679244,LogReg_A2
0.35,0.8254716981132075,0.14728682170542637,0.3333333333333333,0.20430107526881722,0.6973833166219232,0.2898857169836835,0.17452830188679244,LogReg_A2
0.36,0.8278301886792453,0.12403100775193798,0.32653061224489793,0.1797752808988764,0.6973833166219232,0.2898857169836835,0.1721698113207547,LogReg_A2
0.37,0.8278301886792453,0.10852713178294573,0.3111111111111111,0.16091954022988506,0.6973833166219232,0.2898857169836835,0.1721698113207547,LogReg_A2
