model,threshold,accuracy,recall,precision,f1,auc_roc,auc_pr
LogReg_A2 (thr=0.5),0.5,0.847877358490566,0.06976744186046512,0.5,0.12244897959183673,0.6973833166219232,0.2898857169836835
LogReg_A2 (thr_opt),0.15000000000000002,0.6674528301886793,0.6046511627906976,0.2524271844660194,0.3561643835616438,0.6973833166219232,0.2898857169836835
SVM_A2 (thr=0.5),0.5,0.8466981132075472,0.05426356589147287,0.4666666666666667,0.09722222222222222,0.5630127977056851,0.2241665340427784
SVM_A2 (thr_opt),0.13,0.41391509433962265,0.6976744186046512,0.16423357664233576,0.2658788774002954,0.5630127977056851,0.2241665340427784
