threshold,accuracy,recall,precision,f1,auc_roc,auc_pr
0.1,0.17099056603773585,0.9767441860465116,0.15254237288135594,0.2638743455497382,0.5630127977056851,0.2241665340427784
0.11,0.18160377358490565,0.9457364341085271,0.1508034610630408,0.2601279317697228,0.5630127977056851,0.2241665340427784
0.12000000000000001,0.21108490566037735,0.875968992248062,0.1475195822454308,0.25251396648044694,0.5630127977056851,0.2241665340427784
0.13,0.41391509433962265,0.6976744186046512,0.16423357664233576,0.2658788774002954,0.5630127977056851,0.2241665340427784
0.14,0.7110849056603774,0.32558139534883723,0.21,0.2553191489361702,0.5630127977056851,0.2241665340427784
0.15000000000000002,0.7570754716981132,0.23255813953488372,0.21897810218978103,0.22556390977443608,0.5630127977056851,0.2241665340427784
0.16,0.785377358490566,0.20930232558139536,0.2523364485981308,0.2288135593220339,0.5630127977056851,0.2241665340427784
0.17,0.7983490566037735,0.17054263565891473,0.2558139534883721,0.20465116279069767,0.5630127977056851,0.2241665340427784
0.18,0.8018867924528302,0.16279069767441862,0.25925925925925924,0.2,0.5630127977056851,0.2241665340427784
0.19,0.8066037735849056,0.14728682170542637,0.2602739726027397,0.18811881188118812,0.5630127977056851,0.2241665340427784
0.2,0.8136792452830188,0.12403100775193798,0.26229508196721313,0.16842105263157894,0.5630127977056851,0.2241665340427784
0.21000000000000002,0.8148584905660378,0.12403100775193798,0.26666666666666666,0.1693121693121693,0.5630127977056851,0.2241665340427784
0.22,0.8148584905660378,0.11627906976744186,0.25862068965517243,0.16042780748663102,0.5630127977056851,0.2241665340427784
0.23,0.8160377358490566,0.10077519379844961,0.24528301886792453,0.14285714285714285,0.5630127977056851,0.2241665340427784
0.24000000000000002,0.8172169811320755,0.09302325581395349,0.24,0.1340782122905028,0.5630127977056851,0.2241665340427784
0.25,0.8183962264150944,0.08527131782945736,0.23404255319148937,0.125,0.5630127977056851,0.2241665340427784
0.26,0.8207547169811321,0.08527131782945736,0.24444444444444444,0.12643678160919541,0.5630127977056851,0.2241665340427784
0.27,0.8195754716981132,0.07751937984496124,0.22727272727272727,0.11560693641618497,0.5630127977056851,0.2241665340427784
0.28,0.8195754716981132,0.06976744186046512,0.21428571428571427,0.10526315789473684,0.5630127977056851,0.2241665340427784
0.29000000000000004,0.8242924528301887,0.06976744186046512,0.23684210526315788,0.10778443113772455,0.5630127977056851,0.2241665340427784
0.30000000000000004,0.8254716981132075,0.06976744186046512,0.24324324324324326,0.10843373493975904,0.5630127977056851,0.2241665340427784
0.31,0.8278301886792453,0.06976744186046512,0.2571428571428571,0.10975609756097561,0.5630127977056851,0.2241665340427784
0.32,0.8266509433962265,0.06201550387596899,0.23529411764705882,0.09815950920245399,0.5630127977056851,0.2241665340427784
0.33,0.8278301886792453,0.06201550387596899,0.24242424242424243,0.09876543209876543,0.5630127977056851,0.2241665340427784
0.33999999999999997,0.8301886792452831,0.06201550387596899,0.25806451612903225,0.1,0.5630127977056851,0.2241665340427784
0.35,0.8301886792452831,0.06201550387596899,0.25806451612903225,0.1,0.5630127977056851,0.2241665340427784
0.36,0.8313679245283019,0.06201550387596899,0.26666666666666666,0.10062893081761007,0.5630127977056851,0.2241665340427784
0.37,0.8337264150943396,0.06201550387596899,0.2857142857142857,0.10191082802547771,0.5630127977056851,0.2241665340427784
0.38,0.8384433962264151,0.06201550387596899,0.3333333333333333,0.10457516339869281,0.5630127977056851,0.2241665340427784
0.39,0.8384433962264151,0.06201550387596899,0.3333333333333333,0.10457516339869281,0.5630127977056851,0.2241665340427784
0.4,0.8384433962264151,0.06201550387596899,0.3333333333333333,0.10457516339869281,0.5630127977056851,0.2241665340427784
0.41000000000000003,0.839622641509434,0.06201550387596899,0.34782608695652173,0.10526315789473684,0.5630127977056851,0.2241665340427784
