accuracy,recall_1,precision_1,f1_1,auc_roc,auc_pr,brier
0.6851415094339622,0.6746031746031746,0.2733118971061093,0.3890160183066362,0.7386888273314867,0.3558984706812022,0.11357839079744073
0.6674528301886793,0.582089552238806,0.2565789473684211,0.3561643835616438,0.7047117354404449,0.3192483172638529,0.12369649174817288
0.6450471698113207,0.6229508196721312,0.229607250755287,0.3355408388520971,0.6847084857517047,0.30293767628090396,0.11736202193263681
0.6757075471698113,0.5545454545454546,0.21254355400696864,0.30730478589420657,0.690009854644001,0.2660081749137986,0.10885936679160897
0.6839622641509434,0.668918918918919,0.3113207547169811,0.4248927038626609,0.7198069498069498,0.3111681570583771,0.13595022070790602
0.6757075471698113,0.635593220338983,0.24429967426710097,0.35294117647058826,0.7116090085906663,0.264010529930344,0.11432007950737706
0.6639150943396226,0.6551724137931034,0.2878787878787879,0.4,0.7373522342669347,0.38090719365333714,0.12724971017760486
0.6827830188679245,0.6218487394957983,0.2483221476510067,0.354916067146283,0.7197726827356458,0.2899262158921214,0.11245582335314495
0.6627358490566038,0.5606060606060606,0.24503311258278146,0.34101382488479265,0.6872989673269003,0.296696337290949,0.12431257582656291
0.6780660377358491,0.5785714285714286,0.2745762711864407,0.3724137931034483,0.6934826472962067,0.3449783875141675,0.12705460987317718
0.6745283018867925,0.6504065040650406,0.25559105431309903,0.3669724770642202,0.7131370899915895,0.3088692717820819,0.11694221170887555
0.6662735849056604,0.5798319327731093,0.22847682119205298,0.32779097387173395,0.7005337114269578,0.28907506353400675,0.11465677605387214
0.6662735849056604,0.6194029850746269,0.2634920634920635,0.36971046770601335,0.6855742296918768,0.2979671847944363,0.1259370822725992
0.6792452830188679,0.6764705882352942,0.2875,0.40350877192982454,0.7216519332452083,0.30403551560272846,0.1259894499002474
0.6544811320754716,0.6375838926174496,0.2844311377245509,0.39337474120082816,0.7241601136810977,0.3967139715588638,0.13033251630231435
0.6544811320754716,0.5724137931034483,0.2643312101910828,0.3616557734204793,0.6966203953499779,0.3193334712345767,0.13349769816736085
0.6639150943396226,0.5833333333333334,0.2079207920792079,0.30656934306569344,0.6847722722722723,0.29089402728119634,0.10661715340388744
0.6650943396226415,0.5664335664335665,0.26732673267326734,0.3632286995515695,0.6750681942171304,0.3039650566936317,0.1354999240841638
0.6662735849056604,0.6258992805755396,0.27358490566037735,0.38074398249452956,0.6999827500481984,0.32603655438731016,0.1284532379523272
0.6591981132075472,0.5571428571428572,0.25573770491803277,0.350561797752809,0.6563458434221145,0.26659311799998014,0.135825597426207
0.6945754716981132,0.6416666666666667,0.2627986348122867,0.3728813559322034,0.716540750915751,0.28696632740727873,0.11393864483517793
0.6922169811320755,0.6307692307692307,0.27796610169491526,0.38588235294117645,0.7153631883436897,0.3044902215984173,0.1217776863648185
0.6851415094339622,0.5038759689922481,0.24253731343283583,0.327455919395466,0.6758309883451391,0.26972789665250096,0.12554741215281495
0.6780660377358491,0.6293706293706294,0.2903225806451613,0.3973509933774834,0.715627634776571,0.31871812945193023,0.1311149271987259
0.6627358490566038,0.6030534351145038,0.2523961661341853,0.35585585585585583,0.6931127364868461,0.29912989395052275,0.12418756723666134
0.6191037735849056,0.6083333333333333,0.20916905444126074,0.31130063965884863,0.6604624542124542,0.2522739819395654,0.1207241314673212
0.6462264150943396,0.5588235294117647,0.24050632911392406,0.336283185840708,0.6660298248512889,0.28895029483935336,0.13091156929908443
0.6698113207547169,0.5725190839694656,0.2508361204013378,0.3488372093023256,0.6704461975789708,0.2632054673384896,0.1270380067184705
0.6591981132075472,0.6064516129032258,0.2919254658385093,0.3941299790356394,0.6937578550481776,0.31538341669584424,0.1430739502539713
0.6639150943396226,0.5725190839694656,0.24671052631578946,0.3448275862068966,0.675737540856197,0.26375924642711757,0.12760693340437376
0.6497641509433962,0.6346153846153846,0.2920353982300885,0.4,0.7024974062546316,0.3424953553979151,0.14038755425766686
0.6851415094339622,0.625,0.23728813559322035,0.343980343980344,0.70410762810559,0.2701718986226047,0.11020532536434086
0.6745283018867925,0.5813953488372093,0.25252525252525254,0.352112676056338,0.695744520274714,0.27824071314347487,0.12411342298881275
0.6556603773584906,0.6194690265486725,0.219435736677116,0.32407407407407407,0.6876888808620794,0.28838359428079147,0.11018203857109064
